"Tpr","Ppr","z","set"
1.05,0,1,"0"
1.05,0.00402266,1.00046,"0"
1.05,0.0903089,0.973296,"0"
1.05,0.116359,0.965095,"0"
1.05,0.150927,0.953882,"0"
1.05,0.159339,0.951153,"0"
1.05,0.168049,0.948327,"0"
1.05,0.185494,0.942668,"0"
1.05,0.220061,0.931455,"0"
1.05,0.236999,0.925819,"0"
1.05,0.245987,0.922829,"0"
1.05,0.280276,0.91256,"0"
1.05,0.280549,0.912478,"0"
1.05,0.306029,0.904001,"0"
1.05,0.306059,0.903991,"0"
1.05,0.306476,0.903853,"0"
1.05,0.332189,0.895298,"0"
1.05,0.332402,0.895227,"0"
1.05,0.349698,0.887464,"0"
1.05,0.366736,0.881796,"0"
1.05,0.375094,0.879015,"0"
1.05,0.375625,0.878838,"0"
1.05,0.392509,0.87042,"0"
1.05,0.392926,0.870213,"0"
1.05,0.400946,0.867811,"0"
1.05,0.401284,0.86771,"0"
1.05,0.418847,0.86245,"0"
1.05,0.435503,0.856908,"0"
1.05,0.435831,0.856799,"0"
1.05,0.436009,0.85674,"0"
1.05,0.444566,0.853893,"0"
1.05,0.444774,0.853824,"0"
1.05,0.461737,0.845367,"0"
1.05,0.461936,0.845268,"0"
1.05,0.462075,0.845198,"0"
1.05,0.47008,0.842801,"0"
1.05,0.478602,0.840249,"0"
1.05,0.478835,0.840179,"0"
1.05,0.479113,0.840096,"0"
1.05,0.487857,0.837477,"0"
1.05,0.487996,0.837435,"0"
1.05,0.496285,0.833303,"0"
1.05,0.504543,0.829186,"0"
1.05,0.505039,0.828938,"0"
1.05,0.505297,0.82881,"0"
1.05,0.513784,0.825986,"0"
1.05,0.530495,0.820427,"0"
1.05,0.530629,0.820382,"0"
1.05,0.530832,0.820314,"0"
1.05,0.53108,0.820232,"0"
1.05,0.531224,0.820184,"0"
1.05,0.539587,0.81643,"0"
1.05,0.547632,0.812819,"0"
1.05,0.54852,0.812421,"0"
1.05,0.556471,0.808457,"0"
1.05,0.556644,0.80837,"0"
1.05,0.557006,0.80819,"0"
1.05,0.564799,0.804305,"0"
1.05,0.565062,0.804174,"0"
1.05,0.565225,0.804092,"0"
1.05,0.565379,0.804015,"0"
1.05,0.565508,0.803951,"0"
1.05,0.565821,0.803795,"0"
1.05,0.573578,0.801086,"0"
1.05,0.573801,0.801008,"0"
1.05,0.582933,0.797818,"0"
1.05,0.59073,0.795094,"0"
1.05,0.590914,0.79503,"0"
1.05,0.599232,0.792125,"0"
1.05,0.599331,0.79209,"0"
1.05,0.599817,0.79192,"0"
1.05,0.60006,0.791835,"0"
1.05,0.600393,0.791719,"0"
1.05,0.608264,0.787795,"0"
1.05,0.608398,0.787728,"0"
1.05,0.608552,0.787651,"0"
1.05,0.608855,0.787501,"0"
1.05,0.617694,0.783094,"0"
1.05,0.625287,0.780819,"0"
1.05,0.625476,0.780763,"0"
1.05,0.625595,0.780727,"0"
1.05,0.625982,0.780612,"0"
1.05,0.634364,0.778101,"0"
1.05,0.634781,0.777976,"0"
1.05,0.642613,0.775631,"0"
1.05,0.643099,0.775485,"0"
1.05,0.643615,0.775331,"0"
1.05,0.65106,0.771619,"0"
1.05,0.659949,0.767187,"0"
1.05,0.660058,0.767133,"0"
1.05,0.660192,0.767066,"0"
1.05,0.660529,0.766898,"0"
1.05,0.660703,0.766811,"0"
1.05,0.660916,0.766705,"0"
1.05,0.668381,0.762983,"0"
1.05,0.676977,0.758698,"0"
1.05,0.677389,0.758492,"0"
1.05,0.677537,0.758418,"0"
1.05,0.677651,0.758361,"0"
1.05,0.678217,0.758079,"0"
1.05,0.685469,0.754464,"0"
1.05,0.685493,0.754452,"0"
1.05,0.685895,0.754251,"0"
1.05,0.686456,0.753972,"0"
1.05,0.686649,0.753875,"0"
1.05,0.695518,0.749454,"0"
1.05,0.702943,0.746121,"0"
1.05,0.70336,0.745934,"0"
1.05,0.711643,0.742216,"0"
1.05,0.712085,0.742018,"0"
1.05,0.712199,0.741967,"0"
1.05,0.712377,0.741887,"0"
1.05,0.712576,0.741797,"0"
1.05,0.712814,0.741691,"0"
1.05,0.720363,0.737927,"0"
1.05,0.720472,0.737872,"0"
1.05,0.720556,0.73783,"0"
1.05,0.728706,0.733767,"0"
1.05,0.729872,0.733186,"0"
1.05,0.730115,0.733065,"0"
1.05,0.746032,0.725129,"0"
1.05,0.746309,0.724991,"0"
1.05,0.746746,0.724773,"0"
1.05,0.746929,0.724682,"0"
1.05,0.747416,0.724439,"0"
1.05,0.755158,0.720579,"0"
1.05,0.755253,0.720532,"0"
1.05,0.755798,0.72026,"0"
1.05,0.763248,0.716546,"0"
1.05,0.764215,0.716063,"0"
1.05,0.764716,0.715814,"0"
1.05,0.771725,0.712618,"0"
1.05,0.771755,0.712605,"0"
1.05,0.771973,0.712505,"0"
1.05,0.77235,0.712333,"0"
1.05,0.773099,0.711992,"0"
1.05,0.780678,0.708536,"0"
1.05,0.780777,0.708491,"0"
1.05,0.781293,0.708256,"0"
1.05,0.7898,0.704377,"0"
1.05,0.790137,0.704223,"0"
1.05,0.798098,0.700594,"0"
1.05,0.798326,0.70049,"0"
1.05,0.799021,0.700173,"0"
1.05,0.807215,0.696437,"0"
1.05,0.814804,0.692977,"0"
1.05,0.814829,0.692965,"0"
1.05,0.814977,0.692898,"0"
1.05,0.816064,0.692402,"0"
1.05,0.816322,0.692285,"0"
1.05,0.823682,0.688929,"0"
1.05,0.824149,0.688716,"0"
1.05,0.825255,0.688212,"0"
1.05,0.832685,0.684507,"0"
1.05,0.832973,0.684364,"0"
1.05,0.840899,0.680412,"0"
1.05,0.841187,0.680269,"0"
1.05,0.841499,0.680113,"0"
1.05,0.841767,0.679979,"0"
1.05,0.842248,0.679739,"0"
1.05,0.842556,0.679586,"0"
1.05,0.849391,0.676178,"0"
1.05,0.849629,0.67606,"0"
1.05,0.849713,0.676018,"0"
1.05,0.850611,0.67557,"0"
1.05,0.857982,0.671895,"0"
1.05,0.858512,0.67163,"0"
1.05,0.859856,0.67096,"0"
1.05,0.86817,0.662695,"0"
1.05,0.868532,0.662335,"0"
1.05,0.875942,0.659009,"0"
1.05,0.876145,0.658917,"0"
1.05,0.876314,0.658842,"0"
1.05,0.876537,0.658741,"0"
1.05,0.884478,0.655177,"0"
1.05,0.884667,0.655093,"0"
1.05,0.885471,0.654732,"0"
1.05,0.885828,0.654572,"0"
1.05,0.892623,0.651184,"0"
1.05,0.90106,0.646977,"0"
1.05,0.901085,0.646965,"0"
1.05,0.901601,0.646708,"0"
1.05,0.902459,0.64628,"0"
1.05,0.903129,0.645946,"0"
1.05,0.909959,0.642541,"0"
1.05,0.910693,0.642175,"0"
1.05,0.910861,0.642091,"0"
1.05,0.91855,0.638258,"0"
1.05,0.918748,0.638159,"0"
1.05,0.918931,0.638067,"0"
1.05,0.920048,0.637511,"0"
1.05,0.920429,0.63732,"0"
1.05,0.927279,0.633905,"0"
1.05,0.927736,0.633678,"0"
1.05,0.92784,0.633626,"0"
1.05,0.928385,0.633354,"0"
1.05,0.935652,0.629731,"0"
1.05,0.937348,0.628885,"0"
1.05,0.93773,0.628695,"0"
1.05,0.944243,0.622219,"0"
1.05,0.944898,0.621568,"0"
1.05,0.945409,0.62106,"0"
1.05,0.946406,0.620069,"0"
1.05,0.953866,0.61635,"0"
1.05,0.962015,0.612287,"0"
1.05,0.962933,0.611829,"0"
1.05,0.96327,0.611661,"0"
1.05,0.963706,0.611443,"0"
1.05,0.978889,0.604629,"0"
1.05,0.979341,0.604426,"0"
1.05,0.979529,0.604341,"0"
1.05,0.979633,0.604295,"0"
1.05,0.979956,0.60415,"0"
1.05,0.980571,0.603874,"0"
1.05,0.981002,0.60368,"0"
1.05,0.987312,0.599908,"0"
1.05,0.987341,0.59989,"0"
1.05,0.987609,0.59973,"0"
1.05,0.987783,0.599626,"0"
1.05,0.988859,0.598982,"0"
1.05,0.997872,0.593593,"0"
1.05,1.00482,0.589438,"0"
1.05,1.01322,0.584417,"0"
1.05,1.01325,0.584399,"0"
1.05,1.01329,0.584376,"0"
1.05,1.01334,0.584346,"0"
1.05,1.01357,0.58421,"0"
1.05,1.01386,0.584032,"0"
1.05,1.01395,0.583978,"0"
1.05,1.01417,0.583851,"0"
1.05,1.0145,0.583649,"0"
1.05,1.01478,0.583483,"0"
1.05,1.0227,0.578749,"0"
1.05,1.0238,0.578091,"0"
1.05,1.02428,0.577803,"0"
1.05,1.03295,0.569178,"0"
1.05,1.04109,0.56512,"0"
1.05,1.04905,0.561153,"0"
1.05,1.04933,0.561012,"0"
1.05,1.05026,0.560552,"0"
1.05,1.05654,0.554308,"0"
1.05,1.05682,0.554027,"0"
1.05,1.05695,0.553899,"0"
1.05,1.05734,0.553509,"0"
1.05,1.05749,0.553362,"0"
1.05,1.0584,0.552459,"0"
1.05,1.05893,0.551926,"0"
1.05,1.06526,0.548768,"0"
1.05,1.06575,0.548529,"0"
1.05,1.07356,0.544631,"0"
1.05,1.07428,0.544275,"0"
1.05,1.07449,0.544169,"0"
1.05,1.07525,0.543788,"0"
1.05,1.0757,0.543568,"0"
1.05,1.07623,0.543301,"0"
1.05,1.08247,0.537718,"0"
1.05,1.0836,0.536701,"0"
1.05,1.0849,0.535538,"0"
1.05,1.09122,0.529255,"0"
1.05,1.09203,0.528446,"0"
1.05,1.09358,0.526912,"0"
1.05,1.09947,0.522658,"0"
1.05,1.0995,0.522633,"0"
1.05,1.09955,0.5226,"0"
1.05,1.0996,0.522564,"0"
1.05,1.10051,0.521909,"0"
1.05,1.10118,0.521426,"0"
1.05,1.10162,0.521103,"0"
1.05,1.10952,0.515399,"0"
1.05,1.11892,0.508616,"0"
1.05,1.12585,0.503613,"0"
1.05,1.12598,0.503516,"0"
1.05,1.12617,0.503384,"0"
1.05,1.12628,0.503298,"0"
1.05,1.1347,0.497224,"0"
1.05,1.13521,0.496855,"0"
1.05,1.13622,0.496125,"0"
1.05,1.1428,0.491373,"0"
1.05,1.14291,0.491294,"0"
1.05,1.14368,0.490739,"0"
1.05,1.14407,0.490456,"0"
1.05,1.14438,0.49023,"0"
1.05,1.15119,0.485317,"0"
1.05,1.15352,0.483634,"0"
1.05,1.16011,0.478874,"0"
1.05,1.16287,0.476883,"0"
1.05,1.16888,0.470911,"0"
1.05,1.16975,0.470038,"0"
1.05,1.17031,0.469486,"0"
1.05,1.17082,0.468978,"0"
1.05,1.17155,0.468258,"0"
1.05,1.17795,0.461886,"0"
1.05,1.17808,0.461762,"0"
1.05,1.17862,0.461225,"0"
1.05,1.18022,0.459632,"0"
1.05,1.18573,0.456887,"0"
1.05,1.18576,0.45687,"0"
1.05,1.18581,0.456845,"0"
1.05,1.18586,0.45682,"0"
1.05,1.1864,0.456553,"0"
1.05,1.18685,0.456326,"0"
1.05,1.18812,0.455693,"0"
1.05,1.19488,0.452322,"0"
1.05,1.19511,0.452208,"0"
1.05,1.19623,0.451649,"0"
1.05,1.19752,0.451006,"0"
1.05,1.20542,0.443155,"0"
1.05,1.2062,0.442381,"0"
1.05,1.21293,0.435688,"0"
1.05,1.21317,0.435447,"0"
1.05,1.21487,0.433755,"0"
1.05,1.22045,0.428212,"0"
1.05,1.22056,0.428098,"0"
1.05,1.22216,0.42651,"0"
1.05,1.22272,0.425953,"0"
1.05,1.22355,0.425129,"0"
1.05,1.23745,0.418891,"0"
1.05,1.2379,0.418686,"0"
1.05,1.23837,0.418475,"0"
1.05,1.2385,0.418419,"0"
1.05,1.24002,0.417736,"0"
1.05,1.24084,0.417366,"0"
1.05,1.24638,0.411862,"0"
1.05,1.24747,0.410773,"0"
1.05,1.24772,0.410531,"0"
1.05,1.24808,0.410171,"0"
1.05,1.24952,0.408741,"0"
1.05,1.25543,0.402862,"0"
1.05,1.25553,0.402768,"0"
1.05,1.25819,0.400115,"0"
1.05,1.2635,0.394319,"0"
1.05,1.26392,0.393858,"0"
1.05,1.26454,0.393175,"0"
1.05,1.26595,0.391641,"0"
1.05,1.27198,0.385042,"0"
1.05,1.27202,0.385004,"0"
1.05,1.27207,0.38495,"0"
1.05,1.27364,0.383231,"0"
1.05,1.27401,0.38283,"0"
1.05,1.27555,0.381139,"0"
1.05,1.28324,0.373494,"0"
1.05,1.28423,0.372513,"0"
1.05,1.28981,0.366965,"0"
1.05,1.29016,0.366615,"0"
1.05,1.29029,0.366486,"0"
1.05,1.29065,0.366131,"0"
1.05,1.2929,0.363887,"0"
1.05,1.29809,0.35931,"0"
1.05,1.29821,0.359201,"0"
1.05,1.29993,0.357686,"0"
1.05,1.30054,0.357142,"0"
1.05,1.30772,0.350809,"0"
1.05,1.30819,0.350393,"0"
1.05,1.31556,0.343885,"0"
1.05,1.31584,0.343635,"0"
1.05,1.31594,0.343548,"0"
1.05,1.31784,0.341866,"0"
1.05,1.3237,0.336698,"0"
1.05,1.32403,0.336404,"0"
1.05,1.32519,0.335375,"0"
1.05,1.32585,0.334793,"0"
1.05,1.33514,0.326589,"0"
1.05,1.33517,0.326563,"0"
1.05,1.34208,0.320462,"0"
1.05,1.34976,0.313682,"0"
1.05,1.35058,0.312964,"0"
1.05,1.35088,0.312692,"0"
1.05,1.35178,0.311904,"0"
1.05,1.35248,0.311286,"0"
1.05,1.35824,0.306197,"0"
1.05,1.35827,0.306167,"0"
1.05,1.35833,0.306118,"0"
1.05,1.35974,0.30487,"0"
1.05,1.36001,0.304634,"0"
1.05,1.36226,0.302645,"0"
1.05,1.36747,0.297472,"0"
1.05,1.36908,0.295869,"0"
1.05,1.37094,0.29402,"0"
1.05,1.37635,0.288639,"0"
1.05,1.37961,0.285394,"0"
1.05,1.38435,0.28303,"0"
1.05,1.38448,0.282968,"0"
1.05,1.38488,0.282768,"0"
1.05,1.38708,0.281672,"0"
1.05,1.39321,0.278616,"0"
1.05,1.39388,0.278282,"0"
1.05,1.39406,0.278193,"0"
1.05,1.39456,0.277943,"0"
1.05,1.395,0.27772,"0"
1.05,1.39691,0.276768,"0"
1.05,1.40292,0.273776,"0"
1.05,1.40995,0.270269,"0"
1.05,1.4103,0.270094,"0"
1.05,1.411,0.269748,"0"
1.05,1.41421,0.268143,"0"
1.05,1.42048,0.266265,"0"
1.05,1.42093,0.266133,"0"
1.05,1.42169,0.265904,"0"
1.05,1.43602,0.261611,"0"
1.05,1.4365,0.26147,"0"
1.05,1.43746,0.26118,"0"
1.05,1.44014,0.26038,"0"
1.05,1.4445,0.260006,"0"
1.05,1.44453,0.260003,"0"
1.05,1.44459,0.259998,"0"
1.05,1.44539,0.25993,"0"
1.05,1.44567,0.259906,"0"
1.05,1.44585,0.25989,"0"
1.05,1.44686,0.259803,"0"
1.05,1.45392,0.259199,"0"
1.05,1.45503,0.259103,"0"
1.05,1.4563,0.258995,"0"
1.05,1.46213,0.258495,"0"
1.05,1.47062,0.257768,"0"
1.05,1.47086,0.257747,"0"
1.05,1.47141,0.2577,"0"
1.05,1.47201,0.257649,"0"
1.05,1.47279,0.257582,"0"
1.05,1.47361,0.257512,"0"
